English,VietNamese
the,mạo từ
I,Tôi
and,và
to,đến
you,bạn
a,một
of,của
my,của tôi
in,trong
that,cái đó
me,tôi
it,nó
is,Là
but,nhưng
for,vì
your,của bạn
with,với
be,thì là ở
so,vì thế
was,là
her,của cô
as,như
on,trên
all,tất cả các
she,cô ấy
not,không phải
he,anh ta
this,cái này
we,chúng tôi
like,Thích
are,Chúng tôi
have,có
just,chỉ
love,yêu và quý
what,gì
one,một
I'm,Tôi
know,biết rôi
no,không
when,khi nào
his,của anh
at,tại
they,họ
from,từ
will,sẽ
do,làm
never,chưa từng
don't,đừng
can,có thể
up,hướng lên
want,muốn
see,xem
go,đi
time,thời gian
now,bây giờ
out,ngoài
if,nếu như
feel,cảm xúc
or,hoặc
by,qua
there,ở đó
life,mạng sống
it's,nó là
make,chế tạo
how,làm sao
would,sẽ
look,nhìn
eye,mắt
because,bởi vì
could,có thể
say,Nói
day,ngày
who,ai
get,được
had,có
were,là
down,xuống
only,chỉ một
our,của chúng ta
think,nghĩ
heart,trái tim
back,mặt sau
then,sau đó
into,vào trong
am,sáng
come,đến
about,Về
him,anh ta
more,hơn
away,xa
can't,không thể
still,vẫn
their,của chúng
way,đường
an,một
them,họ
why,tại sao
take,lấy
thing,Điều
even,thậm chí
through,bởi vì
long,Dài
let,cho phép
us,chúng ta
always,luôn luôn
you're,bạn
world,thế giới
too,quá
friend,người bạn
tell,noi
I'll,tôi sẽ
try,cố gắng
hand,tay
has,có
face,đối mặt
did,đã làm
thought,tư tưởng
over,qua
here,đây
word,từ
other,khác
where,ở đâu
every,mỗi
need,nhu cầu
smile,nụ cười
again,như trước
much,nhiều
cry,khóc
been,là
night,đêm
its,nó là
ever,liên tục
little,ít
said,nói
end,chấm dứt
some,một vài
than,hơn
live,sống
fall,ngã
those,những thứ kia
pain,nỗi đau
around,vòng quanh
mind,lí trí
people,Mọi người
girl,con gái
leave,rời bỏ
dream,mơ
left,trái
turn,xoay
myself,riêng tôi
right,đúng
tear,nước mắt
head,đầu
give,đưa cho
nothing,không có gì
really,Thực ra
off,tắt
before,trước
something,thứ gì đó
find,tìm thấy
hold,giữ
man,Đàn ông
walk,đi bộ
wish,ước
good,tốt
once,Một lần
I've,tôi có
place,nơi
light,ánh sáng
call,gọi
ask,hỏi
lie,nằm
stop,dừng lại
that's,mà của
hear,Nghe
keep,giữ cho
watch,đồng hồ
seem,hình như
year,năm
sit,ngồi
die,chết
everything,mọi thứ
without,không có
though,mặc dù
lost,mất
these,này
wait,đợi đã
got,được
care,quan tâm
yet,chưa
made,thực hiện
remember,nhớ
start,bắt đầu
alone,một mình
which,cái mà
last,Cuối cùng
run,chạy
didn't,không
hope,mong
maybe,có lẽ
believe,tin
body,thân hình
hate,ghét bỏ
after,sau
until,cho đến khi
close,gần
talk,nói chuyện
hard,khó khăn
stand,đứng
old,cũ
own,làm chủ
each,mỗi
well,Tốt
hurt,đau
while,trong khi
help,Cứu giúp
home,Trang Chủ
god,Chúa Trời
soul,Linh hồn
new,Mới
many,nhiều
two,hai
oh,ồ
told,nói
won't,sẽ không
inside,trong
I'd,Tôi
should,Nên
TRUE,THẬT
move,di chuyển
first,đầu tiên
fear,nỗi sợ
mean,bần tiện
better,tốt hơn
may,có thể
play,Phat
another,nữa
gone,đi mất
change,biến đổi
use,sử dụng
wonder,ngạc nhiên
knew,biết
same,tương tự
someone,một ai đó
hair,tóc
cold,lạnh lẽo
open,mở
best,tốt nhất
any,không tí nào
behind,phía sau
miss,trượt
arm,cánh tay
happen,xảy ra
star,ngôi sao
water,nước
dark,tối
laugh,cười
stay,ở lại
forever,mãi mãi
name,Tên
she's,cô ấy
work,công việc
show,chỉ
there's,có
sky,bầu trời
break,nghỉ
far,xa
came,đã đến
deep,sâu
door,cửa
put,đặt
room,phòng
black,đen
together,cùng với nhau
upon,trên
boy,cậu bé
happy,sung sướng
such,như là
great,tuyệt vời
white,trắng
doesn't,không
you'll,bạn sẽ
does,làm
matter,Vân đê
side,cạnh
fill,đổ đầy
past,quá khứ
fight,Đánh nhau
sun,mặt trời
please,vui lòng
burn,đốt cháy
cause,nguyên do
enough,đủ
touch,chạm
cannot,không thể
moment,khoảng khăc
soon,Sớm
voice,tiếng nói
you've,bạn đã
scream,la hét
anything,bất cứ điều gì
stare,nhìn chằm chằm
he's,anh ấy là
most,hầu hết
sound,âm thanh
red,màu đỏ
everyone,tất cả mọi người
fuck,quái
hide,lột da
kiss,hôn
truth,sự thật
death,tử vong
beautiful,đẹp
mine,của tôi
blood,máu
broken,bị hỏng
very,hết sức
pass,đi qua
next,tiếp theo
forget,quên
tree,cây
wrong,Sai lầm
air,hàng không
mother,mẹ
must,cần phải
done,làm xong
found,tìm
understand,hiểu biết
lip,môi
hit,đánh
wall,tường
couldn't,không thể
else,khác
beat,tiết tấu
memory,kỉ niệm
saw,đã nhìn thấy
wind,gió
sleep,ngủ
free,miễn phí
high,cao
realize,nhận ra
school,trường học
bad,tồi tệ
late,muộn
went,đi
felt,cảm thấy
might,có thể
skin,làn da
sweet,ngọt
perfect,hoàn hảo
blue,màu xanh da trời
kill,giết
breath,hơi thở
dance,nhảy
rain,cơn mưa
dead,chết
against,chống lại
fly,ruồi
between,ở giữa
grow,mọc lên
strong,mạnh
car,xe hơi
took,lấy
under,Dưới
listen,nghe
bring,mang đến
full,đầy
sometimes,thỉnh thoảng
speak,nói
big,to lớn
pull,kéo
person,người
become,trở thành
family,gia đình
part,phần
begin,bắt đầu
ground,đất
real,thật
small,bé nhỏ
father,cha
sure,chắc chắn rồi
hell,Địa ngục
kind,tốt bụng
bed,Giường
feet,bàn chân
rest,Lên đỉnh
young,trẻ tuổi
finally,cuối cùng
land,đất
across,băng qua
today,hôm nay
seen,đã xem
different,khác nhau
guy,chàng
line,hàng
fire,lửa
reason,lý do
isn't,không phải là
